number,company_id
2 22783XXX,1
2 22784XXX,1
2 22785XXX,1
2 22786XXX,1
2 22787XXX,1
2 22788XXX,1
2 22789XXX,1
2 22790XXX,1
2 22791XXX,1
2 22792XXX,1
2 22793XXX,1
2 22794XXX,1
2 22795XXX,1
2 22796XXX,1
2 22797XXX,1
2 22798XXX,1
2 22799XXX,1
2 22800XXX,1
2 22801XXX,1
2 22802XXX,1
2 22803XXX,1
2 22804XXX,1
2 22805XXX,1
2 22806XXX,1
2 22807XXX,1
2 22808XXX,1
2 22809XXX,1
2 22810XXX,1
2 22811XXX,1
2 22812XXX,1
2 22813XXX,1
2 22814XXX,1
2 22815XXX,1
2 22816XXX,1
2 22817XXX,1
2 22818XXX,1
2 22819XXX,1
2 22820XXX,1
2 22821XXX,1
2 22822XXX,1
2 22823XXX,1
2 22824XXX,1
2 22825XXX,1
2 22826XXX,1
2 22827XXX,1
2 22828XXX,1
2 22829XXX,1
2 22830XXX,1
2 22831XXX,1
2 22832XXX,1
2 22833XXX,1
2 22834XXX,1
2 22835XXX,1
2 22836XXX,1
2 22837XXX,1
2 22838XXX,1
2 22839XXX,1
2 22840XXX,1
2 22841XXX,1
2 22842XXX,1
2 22843XXX,1
2 22844XXX,1
2 22845XXX,1
2 22846XXX,1
2 22847XXX,1
2 22848XXX,1
2 22849XXX,1
2 22850XXX,1
2 22851XXX,1
2 22852XXX,1
2 22853XXX,1
2 22854XXX,1
2 22855XXX,1
2 22856XXX,1
2 22857XXX,1
2 22858XXX,1
2 22859XXX,1
2 22860XXX,1
2 22861XXX,1
2 22862XXX,1
2 22863XXX,1
2 22864XXX,1
2 22865XXX,1
2 22866XXX,1
2 22867XXX,1
2 22868XXX,1
2 22869XXX,1
2 22870XXX,1
2 22871XXX,1
2 22872XXX,1
2 22873XXX,1
2 22874XXX,1
2 22875XXX,1
2 22876XXX,1
2 22877XXX,1
2 22878XXX,1
2 22879XXX,1
2 22880XXX,1
2 22881XXX,1
2 22882XXX,1
2 22883XXX,1
2 22884XXX,1
2 22885XXX,1
2 22886XXX,1
2 22887XXX,1
2 22888XXX,1
2 22889XXX,1
2 22890XXX,1
2 22891XXX,1
2 22892XXX,1
2 22893XXX,1
2 22894XXX,1
2 22895XXX,1
2 22896XXX,1
2 22897XXX,1
2 22898XXX,1
2 22899XXX,1
2 22900XXX,1
2 22901XXX,1
2 22902XXX,1
2 22903XXX,1
2 22904XXX,1
2 22905XXX,1
2 22906XXX,1
2 22907XXX,1
2 22908XXX,1
2 22909XXX,1
2 22910XXX,1
2 22911XXX,1
2 22912XXX,1
2 22913XXX,1
2 22914XXX,1
2 22915XXX,1
2 22916XXX,1
2 22917XXX,1
2 22918XXX,1
2 22919XXX,1
2 22920XXX,1
2 22921XXX,1
2 22922XXX,1
2 22923XXX,1
2 22924XXX,1
2 22925XXX,1
2 22926XXX,1
2 22927XXX,1
2 22928XXX,1
2 22929XXX,1
2 22930XXX,1
2 22931XXX,1
2 22932XXX,1
2 22933XXX,1
2 22934XXX,1
2 22935XXX,1
2 22936XXX,1
2 22937XXX,1
2 22938XXX,1
2 22939XXX,1
2 22940XXX,1
2 22941XXX,1
2 22942XXX,1
2 22943XXX,1
2 22944XXX,1
2 22945XXX,1
2 22946XXX,1
2 22947XXX,1
2 22948XXX,1
2 22949XXX,1
2 22950XXX,1
2 22951XXX,1
2 22952XXX,1
2 22953XXX,1
2 22954XXX,1
2 22955XXX,1
2 22956XXX,1
2 22957XXX,1
2 22958XXX,1
2 22959XXX,1
2 22960XXX,1
2 22961XXX,1
2 22962XXX,1
2 22963XXX,1
2 22964XXX,1
2 22965XXX,1
2 22966XXX,1
2 22967XXX,1
2 22968XXX,1
2 22969XXX,1
2 22970XXX,1
2 22971XXX,1
2 22972XXX,1
2 22973XXX,1
2 22974XXX,1
2 22975XXX,1
2 22976XXX,1
2 22977XXX,1
2 22978XXX,1
2 22979XXX,1
2 22981XXX,1
2 22982XXX,1
2 22983XXX,1
2 22985XXX,1
2 22986XXX,1
2 22987XXX,1
2 22988XXX,1
2 22989XXX,1
2 22990XXX,1
2 22991XXX,1
2 22992XXX,1
2 22993XXX,1
2 22994XXX,1
2 22995XXX,1
2 22996XXX,1
2 22997XXX,1
2 22998XXX,1
2 22999XXX,1
2 23000XXX,4
2 23001XXX,4
2 23002XXX,4
2 23003XXX,4
2 23004XXX,4
2 23005XXX,4
2 23006XXX,4
2 23007XXX,4
2 23008XXX,4
2 23009XXX,4
2 23010XXX,4
2 23011XXX,4
2 23012XXX,4
2 23013XXX,4
2 23014XXX,4
2 23015XXX,4
2 23016XXX,4
2 23017XXX,4
2 23018XXX,4
2 23019XXX,4
2 23020XXX,4
2 23021XXX,4
2 23022XXX,4
2 23023XXX,4
2 23024XXX,4
2 23025XXX,4
2 23026XXX,4
2 23027XXX,4
2 23028XXX,4
2 23029XXX,4
2 23030XXX,4
2 23031XXX,4
2 23032XXX,4
2 23033XXX,4
2 23034XXX,4
2 23035XXX,4
2 23036XXX,4
2 23037XXX,4
2 23038XXX,4
2 23039XXX,4
2 23040XXX,5
2 23041XXX,5
2 23042XXX,5
2 23043XXX,5
2 23044XXX,5
2 23045XXX,5
2 23046XXX,5
